archivo,region,selector,propiedad,valor,token,decision
"analisis-mes.html","<style>",".navbar","background","#1a1a2e","","sobre-oscuro"
"analisis-mes.html","<style>",".navbar","color","white","","sobre-oscuro"
"analisis-mes.html","<style>",".bill-card:hover","box-shadow","0 6px 20px rgba(0,0,0,.13)","","sin-mapa"
"analisis-mes.html","<style>",".prog-fill-lbl","text-shadow","0 1px 3px rgba(0,0,0,.35)","","sin-mapa"
"analisis-mes.html","<style>",".res-pill.pill-activo","box-shadow","0 0 0 3px currentColor","","sin-mapa"
"analisis-mes.html","<style>",".detalle-modal","box-shadow","0 8px 40px rgba(0,0,0,.25)","","sin-mapa"
"analisis-mes.html","style=","","color","white","--tx-inv","convertido"
"analisis-mes.html","style=","","color","white","--tx-inv","convertido"
"analisis-mes.html","style=","","color","white","--tx-inv","convertido"
"analisis-mes.html","style=","","color","#fff","--tx-inv","convertido"
"cadena-personal.html","<style>",".navbar","background","#1a1a2e","","sobre-oscuro"
"cadena-personal.html","<style>",".navbar","color","#fff","","sobre-oscuro"
"cadena-personal.html","<style>",".navbar .who","color","#a5b4fc","","sobre-oscuro"
"cadena-personal.html","<style>",".navbar button","color","#a5b4fc","","sobre-oscuro"
"cadena-personal.html","<style>",".navbar button:hover","background","#4f46e5","","sobre-oscuro"
"cadena-personal.html","<style>",".navbar button:hover","color","#fff","","sobre-oscuro"
"cadena-personal.html","<style>",".btn-primary","background","#4f46e5","","sobre-oscuro"
"cadena-personal.html","<style>",".btn-primary","color","#fff","","sobre-oscuro"
"cadena-personal.html","<style>",".btn-primary:hover","background","#4338ca","","sobre-oscuro"
"cadena-personal.html","<style>",".emp-card","box-shadow","0 1px 6px rgba(0,0,0,.05)","","sin-mapa"
"cadena-personal.html","<style>",".modal","box-shadow","0 20px 50px rgba(0,0,0,.25)","","sin-mapa"
"cadena.html","<style>",".navbar","background","#1a1a2e","","sobre-oscuro"
"cadena.html","<style>",".navbar","color","#fff","","sobre-oscuro"
